id,grade,gender,unique,lunch,initialsNum
2003,7,0,0,1,386
2004,8,1,1,1,402
2006,7,1,1,2,288
2008,8,0,1,1,199
2009,7,1,0,1,147
2010,8,1,0,1,157
2011,7,1,0,2,101
2017,8,1,0,2,326
2020,7,1,1,2,414
2022,7,1,0,2,57
2023,7,0,0,2,176
2024,8,1,0,1,291
2025,8,0,1,2,428
2028,7,1,1,2,449
2031,8,1,1,2,98
2032,7,0,0,1,104
2034,7,1,1,2,413
2041,7,1,1,1,160
2042,8,1,0,99,448
2046,7,0,0,2,67
2047,8,0,0,1,357
2048,8,1,0,1,448
2052,7,0,0,1,117
2053,7,1,1,1,310
2054,8,1,0,2,344
2056,8,1,1,2,171
2058,7,0,0,2,116
2059,8,1,0,2,180
2060,8,1,0,2,307
2061,7,0,1,2,436
2062,8,1,0,1,344
2065,7,1,0,2,176
2068,7,1,0,2,57
2071,7,0,1,2,28
2072,7,0,1,1,156
2075,8,0,0,2,371
2076,7,0,0,2,303
2077,8,1,0,1,5
2078,8,1,0,2,223
2079,8,0,1,2,361
2080,8,1,1,2,71
2081,8,1,1,1,207
2086,8,0,1,1,24
2087,7,1,1,2,54
2088,8,0,1,1,73
2089,7,0,0,1,452
2090,7,0,1,1,400
2091,7,1,0,1,79
2092,7,0,1,2,2
2093,8,1,1,2,132
2095,7,0,1,1,427
2096,8,1,1,2,275
2097,8,0,0,2,157
2098,7,0,0,1,439
2099,8,1,0,2,401
2105,7,1,1,2,296
2111,7,1,0,1,400
2112,7,0,0,2,176
2117,8,1,0,1,401
2121,7,1,0,1,17
2124,8,1,1,2,175
2125,8,1,1,2,428
2126,7,0,1,1,106
2131,7,1,0,2,280
2141,8,0,1,1,432
2143,8,1,0,1,126
2145,8,1,0,1,188
2147,7,0,1,2,429
2148,8,1,1,2,181
2149,8,1,0,1,285
2153,8,0,1,1,285
2154,7,0,0,1,143
2155,7,0,1,2,231
2157,7,0,0,2,107
2158,7,1,1,1,391
2159,8,0,1,1,71
2160,7,0,0,2,177
2163,8,0,1,1,114
2164,8,1,1,2,339
2166,7,0,0,2,273
2168,8,0,1,2,218
2169,8,1,0,1,87
2170,7,0,1,1,369
2171,8,0,1,99,2
2173,8,1,1,2,321
2176,7,1,0,2,187
2177,7,0,0,2,109
2180,7,0,1,1,96
2182,8,1,0,1,63
2183,8,0,0,1,434
2185,7,0,0,1,138
2189,8,1,1,2,423
2190,8,0,0,2,411
2191,8,0,0,1,97
2192,8,0,0,1,324
2193,8,0,0,1,411
2195,7,1,1,2,81
2197,7,1,1,2,125
2199,7,1,0,1,11
2200,8,0,1,2,40
2201,7,0,1,1,56
2202,8,0,1,1,163
2205,8,0,0,2,34
2206,8,1,1,99,108
2211,8,0,0,2,202
2212,7,0,0,1,104
2216,8,0,1,2,146
2218,7,0,1,2,69
2221,7,1,1,2,165
2223,7,0,0,1,303
2227,7,0,1,2,367
2228,7,1,0,2,294
2229,8,1,0,2,448
2230,7,0,1,2,275
2232,7,0,1,1,8
2233,7,1,0,1,101
2237,8,0,0,2,406
2238,7,0,1,1,409
2240,7,0,1,2,22
2242,8,0,1,2,143
2246,8,0,1,1,177
2249,8,1,0,1,157
2250,7,0,0,2,68
2251,7,0,1,1,249
2253,8,1,1,2,192
2255,8,0,0,1,362
2256,8,1,0,1,284
2257,8,0,0,1,98
2263,8,1,1,2,303
2265,7,0,1,2,417
2267,7,1,1,2,70
2268,8,1,1,2,164
2269,8,1,1,99,46
2270,8,0,1,2,102
2273,8,1,1,1,81
2274,8,1,1,1,174
2275,7,0,0,1,195
2276,7,0,1,1,114
2277,8,1,1,1,213
2279,8,0,0,1,117
2280,8,1,0,2,57
2282,7,0,1,1,207
2285,8,0,0,1,171
2286,8,0,0,2,46
2287,8,1,0,1,68
2289,8,1,1,2,43
2292,8,0,0,1,97
2294,8,1,1,1,127
2296,8,1,0,2,411
2297,7,1,0,1,158
2299,8,1,1,2,142
2300,8,1,1,99,276
2303,7,0,0,1,267
2305,8,1,0,1,291
2308,7,1,1,2,4
2309,8,1,1,1,62
2310,8,1,1,2,160
2311,8,0,1,2,437
2313,8,1,1,2,273
2314,8,1,0,1,57
2317,7,0,0,1,110
2321,7,0,0,1,117
2323,8,0,1,1,213
2324,7,0,0,2,176
2326,7,0,0,2,177
2327,7,1,0,1,90
